indice_tiempo,ipc_2016_fideos_secos,ipc_2016_pan_mesa,ipc_2016_galletitas_dulces_envasadas,ipc_2016_galletitas_agua_envasadas,ipc_2016_harina_trigo_comun,ipc_2016_arroz_blanco_simple,,ipc_2016_asado,ipc_2016_carne_picada_comun,ipc_2016_paleta,ipc_2016_cuadril,ipc_2016_nalga,ipc_2016_hamburguesas_congeladas,ipc_2016_pollo_entero,ipc_2016_filet_merluza_fresco,ipc_2016_salchicha_viena,ipc_2016_jamon_cocido,ipc_2016_salchichon,ipc_2016_salame,ipc_2016_aceite_girasol,ipc_2016_aceite_mezcla,ipc_2016_leche_fresca_entera_sachet,ipc_2016_leche_polvo_entera,ipc_2016_queso_cremoso,ipc_2016_queso_pate_grass,ipc_2016_queso_sardo,ipc_2016_manteca,ipc_2016_yogur_firme,ipc_2016_dulce_leche,ipc_2016_huevos_gallina,ipc_2016_manzana_deliciosa,ipc_2016_limon,ipc_2016_naranja,ipc_2016_banana,ipc_2016_batata,ipc_2016_papa,ipc_2016_cebolla,ipc_2016_lechuga,ipc_2016_tomate_redondo,ipc_2016_zapallo,ipc_2016_tomate_entero_conserva,ipc_2016_arvejas_secas_remojadas,ipc_2016_azucar,ipc_2016_sal_fina,ipc_2016_polvo_flan,ipc_2016_gaseosa_base_cola,ipc_2016_agua_sin_gas,ipc_2016_cerveza_botella,ipc_2016_vino_comun,ipc_2016_cafe_molido,ipc_2016_yerba_mate,ipc_2016_jabon_polvo_ropa,ipc_2016_detergente_liquido,ipc_2016_jabon_pan,ipc_2016_lavandina,ipc_2016_algodon,ipc_2016_champu,ipc_2016_jabon_tocador,ipc_2016_desodorante,ipc_2016_paniales_descartables
4/1/2016,16.56,35.08,13.07,16.69,8.23,16.21,,100.3,60.68,93.87,119.23,120.87,44.96,34.99,104.73,20.42,156.47,90.3,181.39,25.88,20.24,14.37,95.75,96.14,156.24,166.74,23.03,10.81,23.44,28.24,25.12,20.96,23.2,23.14,14.86,9.26,13.79,31.32,18.87,13.25,13.07,10.4,12.05,9.57,8.51,23.97,13.05,25.89,17.15,62.37,26.29,,,,,,,,,
5/1/2016,16.13,35.19,13.55,17.11,8.67,16.32,,100.97,61.96,97.28,122.08,125.33,46.41,33.36,102.58,20.94,170.22,94.85,187.9,26.74,21.33,15.65,101.96,112.53,171.89,187.52,25.03,11.38,25.56,29.68,25.74,19.56,14.94,22.48,18.22,9.44,13.82,32.94,27.53,13.45,13.99,10.81,12.3,9.91,8.76,24.79,13.46,27.52,20.61,65.34,26.6,,,,,,,,,
6/1/2016,16.13,37.25,13.62,17.72,9.19,16.6,,101.39,63.32,100.02,125.3,127.55,48.62,33.23,102.2,21.77,163.07,94.29,188.17,31.02,24.03,16.07,102.18,117.97,176.92,199.65,26.03,11.57,25.48,30.16,25.94,18.82,12,24.61,18.83,11.06,15.41,36,31.11,14.78,15.08,11.04,12.51,10.01,8.83,25.4,13.59,27.97,23.2,67.45,26.88,,,,,,,,,
7/1/2016,16.05,37.9,13.66,17.75,9.48,16.81,,103.13,64.64,102.19,126.49,128.8,51.03,32.95,103.6,22.29,161.85,94.34,190.42,38.1,29.07,16.53,105.29,119.29,181.8,202.7,27.37,11.68,26.33,30.43,26.82,17.31,11.53,26.85,21.73,11.91,15.21,41.03,34.42,20.41,15.5,11.13,12.76,10.61,8.81,25.92,13.71,29.39,25.75,68.81,27.29,38.95,17.16,10.84,12.81,15.88,62.34,12.02,37.91,42.36
8/1/2016,16.19,38.58,13.81,18.06,10.14,17.24,,103.9,64,103.01,128.54,130.98,52.57,34.39,101.64,22.66,162.5,96.91,193.59,42.88,32.57,16.84,108.39,121.12,185.61,205.5,29.94,11.77,27.41,30.25,27.53,17.46,11.57,26.37,24.36,11.67,15.37,37.04,26.68,22.23,15.72,11.42,13.49,11.35,8.98,26.72,14.13,29.7,27.95,68.43,27.34,39.44,17.2,10.96,12.9,16.06,63.14,12.21,37.93,42.8
9/1/2016,16.43,39.98,14.38,18.52,10.47,18.18,,106.63,64.6,103,130.49,132.17,54.99,35.14,103.87,23.55,169.42,101.91,198.11,45.19,34.12,17.03,114.05,121.4,187.61,208.74,31.18,11.86,27.95,30.7,28.53,20.11,11.71,26.23,28.11,11.95,15.48,26.75,31.18,29.8,16.41,11.41,14.9,11.92,9.43,28.49,14.36,30.04,29.03,69.37,27.73,39.9,17.37,11.18,13.22,16.4,64.05,12.71,38.16,43.09
10/1/2016,16.74,40.03,14.78,19.05,10.42,18.49,,107.87,65.78,103.35,130.77,132.76,55.06,36.14,105.93,24.69,171.24,104.88,200.96,46.31,35.5,17.55,117.25,121.13,190.01,210.6,32.43,12.49,29.24,31.43,31.41,26.76,11.7,26.55,32.65,12.55,13.08,25.52,24.39,38.11,16.56,11.3,15.7,12.12,9.78,30.22,14.63,32.07,30.03,69.05,28.13,40.46,17.03,11.17,13.55,16.44,63.22,12.58,39.18,43.45
11/1/2016,16.98,39.69,14.86,19.27,10.39,18.94,,109.39,65.02,102.59,131.07,133.8,56.24,35.85,105,24.61,174.97,106.11,207.7,47.22,35.72,17.92,119.89,120.97,193.66,210.54,33.39,12.66,29.62,31.4,34.91,35.39,11.72,26.07,32.39,11.78,12.36,30.07,24.12,32.81,16.69,11.39,16.29,12.64,9.83,33.05,14.98,32.57,33.28,70.75,28.43,40.91,16.88,11.54,13.53,16.65,64.73,12.78,39.76,43.68
12/1/2016,17.11,40.5,15.08,19.63,10.36,19.46,,112.72,62.9,103.27,131.69,133.33,57.05,37.29,107.08,24.96,177.45,106.47,210.82,48.94,,18.05,119.22,122.36,193.17,210.6,33.44,13.68,29.48,31.4,38.31,41.54,11.79,25.78,29.05,11.59,12.49,29.85,17.2,20.64,17.04,11.45,16.7,12.82,9.92,34.38,15.16,33.59,35.76,73.98,28.49,41.63,17.1,11.76,13.6,17.03,65.19,12.96,40.25,43.38
1/1/2017,17.23,41.34,15.59,19.72,10.53,19.5,,111.95,63.07,102.45,131.13,134.22,57.8,34.88,112.97,25.47,180.72,107.69,214.01,49.45,,18.6,122.05,124.13,201.44,217.38,34.51,13.94,30.25,31,40.47,49.87,12.26,25.34,29.28,12.45,13.16,37.18,19.54,17.23,17.34,11.52,17.23,13.02,10.12,34.75,15.84,33.38,36.63,75.98,28.53,42.03,17.24,11.96,14.04,17.35,65.89,12.97,40.34,44.12
2/1/2017,17.84,41.45,15.89,19.94,10.49,19.94,,110.22,62.91,102.87,132.15,133.68,58.55,34.73,119.17,25.47,184.93,111.4,219.58,49.64,,18.86,127.02,128.34,210.07,224.06,35.45,14.94,30.32,31.2,38.06,55.02,12.34,26.11,26.73,13.67,12.36,44.08,22.36,15.11,17.36,11.51,17.64,13.09,10.22,34.66,15.99,33.75,37.23,77.44,28.91,42.69,17.62,11.99,14.42,17.44,67.24,13.19,41.14,44.49
